what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1298886023616
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1298886023627
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1298886023642
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1298886023643
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1298886023643
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1298886023647
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1298886023666
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1298886023690
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1298886023697
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1298886023714
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1298886023714
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1298886023732
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1298886023743
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1298886023743
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1298886023751
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1298886023764
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1298886023774
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1298886023774
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1298886023797
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1298886023818
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1298886023819
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1298886023847
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1298886023868
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1298886023873
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1298886023887
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1298886023904
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1298886023910
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1298886023930
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1298886023938
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1298886023938
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1298886023954
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1298886023972
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1298886023973
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1298886023973
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1298886023973
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1298886023991
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1298886023996
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1298886024017
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1298886024037
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1298886024051
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1298886024089
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1298886024091
started,bundle,org.eclipse.m2m.atl.adt.ui,3.1.1.v201009141132,"org.eclipse.m2m.atl.adt.ui",1298886024103
started,bundle,org.eclipse.papyrus.log,0.7.0.v201007251735,"org.eclipse.papyrus.log",1298886024104
started,bundle,org.eclipse.papyrus.sysml.service.creation,0.7.0.v201007251735,"org.eclipse.papyrus.sysml.service.creation",1298886024104
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.7.0.v201007251735,"org.eclipse.papyrus.ui.perspectiveconfiguration",1298886024104
started,bundle,org.eclipse.papyrus.uml.service.creation,0.7.0.v201007251735,"org.eclipse.papyrus.uml.service.creation",1298886024117
started,bundle,org.eclipse.xtext.gmf.glue,1.0.0.v201007251735,"org.eclipse.xtext.gmf.glue",1298886024117
os,sysinfo,,,"linux",1298886024119
arch,sysinfo,,,"x86",1298886024119
ws,sysinfo,,,"gtk",1298886024119
locale,sysinfo,,,"fr_FR",1298886024119
processors,sysinfo,,,"2",1298886024120
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1298886024120
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1298886024120
java.specification.name,sysinfo,,,"Java Platform API Specification",1298886024120
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298886024120
java.specification.version,sysinfo,,,"1.6",1298886024120
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298886024120
java.version,sysinfo,,,"1.6.0_20",1298886024120
java.vm.info,sysinfo,,,"mixed mode, sharing",1298886024120
java.vm.name,sysinfo,,,"OpenJDK Client VM",1298886024120
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298886024120
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298886024120
java.vm.specification.version,sysinfo,,,"1.0",1298886024120
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298886024120
java.vm.version,sysinfo,,,"19.0-b09",1298886024120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886024559
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1298886024563
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886024567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886024567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886024966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886025176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886025179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886028823
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298886028955
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298886028977
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1298886028992
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1298886028999
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1298886029007
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.4.0.v20100331-2359,"org.eclipse.gmf.runtime.diagram.core",1298886029016
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1298886029016
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.4.1.v20100909-1300,"org.eclipse.gmf.runtime.diagram.ui",1298886029180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886049666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886051849
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886061883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886068699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886074035
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298886075803
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1298886076104
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.type.core",1298886076144
started,bundle,org.eclipse.gmf.runtime.common.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.common.core",1298886076165
started,bundle,org.eclipse.emf.workspace,1.4.0.v20100224-1706,"org.eclipse.emf.workspace",1298886076168
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.commands.core",1298886076169
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1298886076212
started,bundle,org.eclipse.uml2.uml,3.1.1.v201008191505,"org.eclipse.uml2.uml",1298886076449
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1298886076790
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1298886077310
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1298886077317
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1298886077328
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1298886077346
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1298886077359
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1298886077390
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1298886077421
stopped,bundle,org.eclipse.papyrus.controlmode,0.7.0.v201007251735,"org.eclipse.papyrus.controlmode",1298886077474
stopped,bundle,org.eclipse.papyrus.core.resourceloading.preferences,0.7.0.v201007251735,"org.eclipse.papyrus.core.resourceloading.preferences",1298886077528
stopped,bundle,org.eclipse.papyrus.core.resourceloading,0.7.0.v201007251735,"org.eclipse.papyrus.core.resourceloading",1298886077546
stopped,bundle,org.eclipse.papyrus.sysml.diagram.blockdefinition,0.7.0.v201007251735,"org.eclipse.papyrus.sysml.diagram.blockdefinition",1298886077552
stopped,bundle,org.eclipse.papyrus.sysml.diagram.requirement,0.7.0.v201007251735,"org.eclipse.papyrus.sysml.diagram.requirement",1298886077552
stopped,bundle,org.eclipse.papyrus.uml.diagram.pkg,0.7.0.v201007251735,"org.eclipse.papyrus.uml.diagram.pkg",1298886077552
stopped,bundle,org.eclipse.papyrus.diagram.clazz,0.7.0.v201007251735,"org.eclipse.papyrus.diagram.clazz",1298886077552
stopped,bundle,org.eclipse.papyrus.diagram.activity,0.7.0.v201007251735,"org.eclipse.papyrus.diagram.activity",1298886077552
